大分類,POIコード,POI,解説,既存コード,既存コード対象,既存コード説明,参照元,日本標準産業分類コード,日本標準産業分類名
目標物,0503,煙突,屋内で排出されるガスを屋外に導くための長い筒状の突起物。,4101,煙突,屋内で排出されるガスを屋外に導くための長い筒状の突起物で高 さがおおむね60ｍ以上のもの。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4234,煙突,煙を外部に排出するためにつくられた筒型の装置規模の大きなものを取得する ,国土交通省　都市計画GIS　地物一覧,,
目標物,0504,油田・ガス田,油、ガス等を採掘するための井戸。 ,4103,油井・ガス井,油、ガス等を採掘するための井戸。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4225,油井・ガス井,石油を採取するためのやぐらを設けた井戸、または天然ガ スを噴出する井戸のうち、現に採取中のもの      ,国土交通省　都市計画GIS　地物一覧,,
目標物,0505,高塔,特に高くそびえている工作物。送電線の鉄塔、教会の鐘楼、展望台、独立した給水塔は除く。,4201,高塔,高さが概ね60ｍ以上の五重塔、展望台等の高い塔で送電線鉄塔を除く。,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4235,高塔,特に高くそびえている工作物のうち、送電線の鉄塔、境界の鐘楼、展望台、独立した給水塔等記号が定められていないもの ,国土交通省　都市計画GIS　地物一覧,,
目標物,0506,坑口,人工の鉱坑及び自然に形成された穴の入口。,4202,坑口,人工の鉱坑及び自然に形成された穴の入口で穴の入口の大きさが 概ね10ｍ以上のもの。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4219,坑口,鉱坑の入口、および河川が地下に出入りする部分ただ し、一条河川が道路、または鉄道と交会する部分における坑口は含まない      ,国土交通省　都市計画GIS　地物一覧,,
目標物,,,,511,構造物名称（高塔、煙突等）,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
目標物,0507,巨大構造物,巨大な大仏、観覧車等といった構造物。,4301,巨大構造物,巨大な大仏、観覧車等といった、高さが概ね60ｍ以上の構造物。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,0508,給水塔,給水塔,,給水塔,,,,
目標物,0509,サイロ,サイロ,,サイロ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
目標物,0510,タンク,水、油、ガス及び飼料等を貯蔵するため地上に設置された構造物。石油・ガス備蓄基地を含む。,4302,タンク,直径又は短辺が概ね25ｍ以上の、水、油、ガス及び飼料等を貯蔵 するため地上に設置された構造物,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4231,タンク,石油、ガス等のタンク ,国土交通省　都市計画GIS　地物一覧,,
目標物,0511,クレーン,重量物を動力でつり上げ、上下・左右・前後に移動させる機械で、常設された規模の大きいもの,4228,起重機,重量物を動力でつり上げ、上下・左右・前後に移動させる機械で、常設された規模の大きいもの ,国土交通省　都市計画GIS　地物一覧,,
目標物,0512,電波塔,テレビ、ラジオ、無線電信等の送受信を目的に構築された塔 ,4236,電波塔,テレビ、ラジオ、無線電信等の送受信を目的に構築された塔 ,国土交通省　都市計画GIS　地物一覧,,
目標物,0513,公衆電気通信施設,公衆電気通信施設,0742,公衆電気通信施設,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条） ,国土交通省　都市計画GIS　地物一覧,,
目標物,0514,火の見,火の見,4233,火の見,,公共測量標準図式 数値地形図データ取得分類コード表 ,,
目標物,0599,その他目標物,,,,,,,
歴史文化,0601,遺跡,遺跡,,遺跡,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
,0602,古墳,古墳,,古墳,,公共測量標準図式 数値地形図データ取得分類コード表 ,,
歴史文化,0603,史跡,史跡,0201,史跡,古墳、貝塚、城跡、古戦場等。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
歴史文化,0604,天然記念物,文化財保護法に基づく史跡名勝天然記念物。 ,6341,史跡・名勝・天然記念物,文化財保護法に基づく史跡名勝天然記念物。 ,国土地理院　電子国土基本図　地物種別コード,,
歴史文化,,,,532,史跡名勝天然記念物,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
歴史文化,0605,名勝,名勝,,名勝,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
歴史文化,0606,文化的景観,文化的景観,,文化的景観,,国土交通省　国土数値情報　文化施設データ　種別大区分コード,,
歴史文化,0607,城,天守あるいはやぐらを有する城。（復元されたものも含む。）,0202,城,天守あるいはやぐらを有する城。（復元されたものも含む。城跡は史跡で整理する。）,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
歴史文化,0608,城跡,城があった場所。,6342,城跡,城があった場所。,国土地理院　電子国土基本図　地物種別コード,,
歴史文化,0609,古戦場,古戦場,,古戦場,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
歴史文化,0610,歴史的建造物,歴史的建造物、デザインの優れた建造物（橋や駅、ビル、タワー、ダ ム等）。歴史的文化価値のある建造物そのものが観光利用の対象と なっているもの。,0212,歴史的建造物,歴史的建造物、デザインの優れた建造物（橋や駅、ビル、タワー、ダ ム等）。歴史的文化価値のある建造物そのものが観光利用の対象と なっているもの。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
歴史文化,0611,庭園,庭園,0204,庭園,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
歴史文化,,,,0299,その他歴史,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
歴史文化,0612,記念碑,ある物事を記念し、後世に伝えるために建てたもの,4104,記念碑,,国土地理院　電子国土基本図　地物種別コード,,
歴史文化,0613,石碑,石碑,4202,記念碑,ある物事を記念し、後世に伝えるために建てた碑規模が大きなものを取得する ,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0614,門,石、コンクリート、れんが等でできた堅牢な門柱。,3401,門,石、コンクリート、れんが等でできた堅牢な門柱を有する もので、1.25m 以上の大きさのもの ,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0615,屋門,神社、仏閣等における規模の大きな屋門。,3402,屋門,神社、仏閣等における規模の大きな屋門,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0616,鳥居,神社の参道入口に立てて神域を示す一種の門 。,4207,鳥居,神社の参道入口に立てて神域を示す一種の門 ,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0617,立像,立っている姿の像,4203,立像,立っている姿の像規模が大きなものを取得する      ,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0618,路傍祠,路傍にある地蔵または道祖神特に著名なもの、または好目標となるもの。,4204,路傍祠,路傍にある地蔵、石碑または道祖神特に著名なもの、または好目標となるものを取得する      ,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0619,灯ろう,灯火をともす器具。,4205,灯ろう,灯火をともす器具規模が大きく主要なものについて取得 する      ,国土交通省　都市計画GIS　地物一覧,,
歴史文化,0620,蔵,蔵,,蔵,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
歴史文化,0621,歴史的街並み,歴史的まち並み、旧街道,0205,歴史的まち並み、旧街道,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
歴史文化,0622,古民家,古民家,,古民家,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
歴史文化,0623,武家屋敷,武家屋敷,,武家屋敷,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
歴史文化,0624,町屋/町家,町屋/町家,,町屋/町家,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
歴史文化,0699,その他歴史文化,,,,,,,
宗教施設,,,,0203,神社・仏閣,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
宗教施設,0701,神社,通常の神社（神道協会、神道教団その他これに類する場合を除 く）。,3231,神社,通常の神社（神道協会、神道教団その他これに類する場合を除 く）。,国土地理院　電子国土基本図　地物種別コード,,
宗教施設,,,,661,神社,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
宗教施設,,,,3521,神社,神社は注記で表示することを原則とするが、小規模のものは記号で表示する      ,国土交通省　都市計画GIS　地物一覧,,
宗教施設,0702,寺院,通常の寺院。 ,3232,寺院,通常の寺院。 ,国土地理院　電子国土基本図　地物種別コード,,
宗教施設,,,,662,寺院,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
宗教施設,,,,3522,寺院,寺院は注記で表示することを原則とするが、小規模のものは記号で表示する      ,国土交通省　都市計画GIS　地物一覧,,
宗教施設,0703,教会,教会,3523,キリスト教会,キリスト教会は注記で表示することを原則とするが、小規模のものは記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
宗教施設,0704,モスク,モスク,,モスク,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
宗教施設,0799,その他宗教施設,,,,,,,
文化・教養,0801,博物館,博物館等の定めにないものも含む。 ,0206,博物館,博物館等の定めにないものも含む。 ,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,8213,博物館、美術館
文化・教養,,,,3216,博物館法の登録博物館・博物館相当施設,博物館法による登録博物館及び博物館相当施設。水族館及び動植物園は含まない。 ,国土地理院　電子国土基本図　地物種別コード,8213,博物館、美術館
文化・教養,0802,美術館,ギャラリー、絵画館を含む。,0207,美術館,ギャラリー、絵画館を含む。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,8213,博物館、美術館
文化・教養,0803,記念・資料館,記念・資料館,0208,記念・資料館,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
文化・教養,0804,動物園,サファリパーク、鳥類園を含む。,0209,動・植物園,サファリパーク、鳥類園を含む。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,8214,動物園、植物園、水族館
文化・教養,0805,植物園,植物園,,,,,,
文化・教養,0806,野鳥観察所,野鳥観察所,,野鳥観察所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
文化・教養,0807,水族館,水族館,0210,水族館,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
文化・教養,0808,その他生き物施設,その他生き物施設。昆虫園　等。,651,水族館・動植物園,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
文化・教養,0809,産業観光施設,産業観光（歴史的・文化的価値のある工場等やその遺構、機械器具、最先端の技術を備えた工場等を対象とした観光で、学びや体験 を伴うもの。） ,0211,産業観光,産業観光（歴史的・文化的価値のある工場等やその遺構、機械器具、最先端の技術を備えた工場等を対象とした観光で、学びや体験 を伴うもの。） 例：ワイナリー、ビール園、酒造見学等。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
文化・教養,0899,その他の主要・著名な建物,,681,その他の主要・著名な建物,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
温泉等,,,,0301,温泉地,温泉法に基づくもの。 「○○温泉」と同じ名のつくエリアの宿泊及び日帰りの温泉施設全体 を一つの地点として取り扱う。なお湯畑等の観光施設を別地点としても差し支えかまわない,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
温泉等,,,,0399,その他温泉・健康,温泉法に基づかない温泉類似施設。スーパー銭湯等については日常利用の多寡に留意する。ヘルスツーリズム（自然豊かな地域を訪 れ、そこにある自然、温泉や身体に優しい料理を味わい、心身ともに 癒され、健康を回復・増進・保持する新しい観光形態）。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
温泉等,0901,温泉,温泉法に基づくもの。 「○○温泉」と同じ名のつくエリアの宿泊及び日帰りの温泉施設全体 を一つの地点として取り扱う。なお湯畑等の観光施設を別地点としても差し支えかまわない,6331,温泉,温泉法に基づく温泉及び鉱泉の泉源位置又は宿泊施設。,国土地理院　電子国土基本図　地物種別コード,,
温泉等,0902,鉱泉,温泉法に基づく鉱泉   ,6222,温泉・鉱泉,温泉法に基づく温泉及び鉱泉   ,国土交通省　都市計画GIS　地物一覧,,
温泉等,0903,銭湯,温泉法に基づかない温泉類似施設、スーパー銭湯、銭湯　等,,銭湯,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,784,一般公衆浴場業
温泉等,0904,足湯,足湯,,フットバス,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
温泉等,0999,その他入浴施設,,,,,,,
レクリエーション,1001,観光案内所,観光案内所、ツーリストインフォメーション,,観光案内所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
レクリエーション,1002,自然公園,自然公園地域とは、優れた自然の風景地で、その保護および利用の増進を図る必要がある地域であり、自然公園法第2条第1項自然公園（国立公園、国定公園及び都道府県立自然公園）として指定されることが相当な地域。,,自然公園,自然公園地域とは、優れた自然の風景地で、その保護および利用の増進を図る必要がある地域であり、自然公園法第2条第1項自然公園（国立公園、国定公園及び都道府県立自然公園）として指定されることが相当な地域。,国土交通省　国土数値情報　自然公園地域データ,,
レクリエーション,1003,都市公園,街区公園、近隣公園、地区公園（カントリーパーク）、総合公園、運動公園、広域公園、レクリエーション都市、国営公園、特殊公園（風致公園、動植物公園、歴史公園、墓園）、緩衝緑地、都市緑地、緑道、都市林、広場公園,,都市公園,街区公園、近隣公園、地区公園（カントリーパーク）、総合公園、運動公園、広域公園、レクリエーション都市、国営公園、特殊公園（風致公園、動植物公園、歴史公園、墓園）、緩衝緑地、都市緑地、緑道、都市林、広場公園,国土交通省　国土数値情報　都市公園データ,,
レクリエーション,,,,0407,公園,イベントの開催やピクニック等の目的となる公園を対象とし、施設のない公園や総合運動公園で日常利用者が大半を占めるものは含まない。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,8051,公園
レクリエーション,,,,534,公園,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
レクリエーション,,,,6201,公園,地方公共団体及び国が設置する都市基幹公園、大規模公園及び国営公,国土地理院　電子国土基本図　地物種別コード,,
レクリエーション,,,,0708,公園,都市計画法第 11 条第 1 項第 2 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
レクリエーション,,,,,バーベキュー場,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
レクリエーション,1004,庭園,庭園,6214,園庭,公園、宅地、道路の分離帯及び工場等の周辺に ある鑑賞あるいは隠ぺいのために栽培する潅木の集,国土交通省　都市計画GIS　地物一覧,,
レクリエーション,1005,緑地,緑地,0709,緑地,都市計画法第 11 条第 1 項第 2 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
レクリエーション,1006,広場,広場,0710,広場,都市計画法第 11 条第 1 項第 2 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
レクリエーション,1007,噴水,噴水,,噴水,,,,
レクリエーション,,,,0712,その他の公共空地 （運動場他）,都市計画法第 11 条第 1 項第 2 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
レクリエーション,1008,遊園地,各種遊戯施設により娯楽を提供する施設。,0408,レジャーランド・遊園地,【日本標準産業分類における定義】 各種遊戯施設により娯楽を提供する事業所をいう。 【特定サービス産業実態調査（経済産業省）における定義】 樹木、池等自然の環境を有し、かつ、有料の各種遊戯施設を配置し、客に娯楽を提供する業務を営む事業所(客が直接に硬貨・メダル・ カード等を投入するものを除き、3 種類以上の遊戯施設を有するも の)をいう。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,8052,遊園地
レクリエーション,1009,テーマパーク,文化，歴史，科学等に関する特定のテーマに基づき施設全体の環境 づくりを行い，各種遊戯施設により娯楽を提供する施設。 特定のテーマのもとに施設全体の環境づくりを行い、 テーマに関連するアトラクションを有し、パレードやイベント等のソフト を組み込んで、空間全体を演出して娯楽を提供する施設。,0409,テーマパーク,【日本標準産業分類における定義】 文化，歴史，科学等に関する特定のテーマに基づき施設全体の環境 づくりを行い，各種遊戯施設により娯楽を提供する事業所をいう。 【特定サービス産業実態調査（経済産業省）における定義】 入場料をとり、特定のテーマのもとに施設全体の環境づくりを行い、 テーマに関連するアトラクションを有し、パレードやイベント等のソフト を組み込んで、空間全体を演出して娯楽を提供する事業所をいう。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,8053,テーマパーク
レクリエーション,1010,体験施設,,,体験施設,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
レクリエーション,,,,0499,その他スポーツ・レクリエーション,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
レクリエーション,,,,531,土地利用名（演習場、ゴルフ場、遊園地、建設予定地等）,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
レクリエーション,1011,映画館,映画館,,映画館,,国土交通省　国土数値情報　集客施設データ　施設区分コード,801,映画館
レクリエーション,1012,劇場,劇場,,劇場・演劇場,,国土交通省　国土数値情報　集客施設データ　施設区分コード,8021,劇場
レクリエーション,1013,演劇場,演劇場,,劇場,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
レクリエーション,1014,寄席,寄席,,,,,,
レクリエーション,1015,演舞場,演舞場,,,,,,
レクリエーション,1016,ホール,ホール,,ホール,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,,
レクリエーション,1017,展示場,展示場,,展示場,,国土交通省　国土数値情報　集客施設データ　施設区分コード,,
レクリエーション,,,,,寄席を有する体育館・観覧場,,国土交通省　国土数値情報　集客施設データ　施設区分コード,8022,興業場
レクリエーション,,,,,その他集客施設,,国土交通省　国土数値情報　集客施設データ　施設区分コード,,
レクリエーション,1018,遊技場,ビリヤード場、囲碁・将棋所、マージャンクラブ、パチンコホール、ゲームセンター、その他の遊技場,,遊戯施設,（パチンコ、競馬、競輪、競艇等）,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",806,遊戯場
レクリエーション,1019,競馬等の競走場,競輪場、競馬場、自動車・モーターボートの競走場,,競輪・競馬等の競走場、競技団,,,803,競輪・競馬等の競走場、競技団
レクリエーション,1020,カジノ,カジノ,,遊戯施設,カジノ,schema.org(2017-11-28),,
レクリエーション,1021,カラオケボックス,カラオケボックス,,カラオケボックス,,,8095,カラオケボックス
レクリエーション,1022,プラネタリウム,プラネタリウム,,プラネタリウム,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
レクリエーション,1023,釣り場,釣り場,0404,釣り場,具体的な箇所を特定できる「釣り場」を地点とする。「自然」の「湖沼」 や「河川」と重複しないように留意する。 ,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
レクリエーション,1024,遊漁船,遊漁船；釣船；瀬渡船；船宿（釣船）。主として船舶により乗客を漁場に案内し，釣りなどの方法により魚類その他の水産動植物を採捕させる施設をいう。,,遊漁船業,,,8093,遊漁船業
レクリエーション,1099,その他レクリエーション,,0699,他に分類されない観光地点,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
スポーツ,,,,0401,スポーツ・レクリエーション施設,ゴルフ場、テニス場、スケート場、プール、サイクリングコース、ハイキ ングコース、複合的スポーツリゾート施設等。自然歩道、自然研究 路を含む。 ,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
スポーツ,1101,スタジアム,スタジアム,,スタジアム,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
スポーツ,1102,陸上競技場,陸上競技を行うためにつくられた施設で、１周 200m 以上のトラックを有するもの。（トラック内にサッカー、ラグビー等を行う施設がある場合でも、陸上競技場として取り扱う。 ） ,1,陸上競技場,主として、陸上競技を行うためにつくられた施設で、１周 200m 以上のトラックを有するもの。（トラック内にサッカー、ラグビー等を行う施設がある場合でも、陸上競技場として取り扱う。学校の運動場は、多目的運動広場として取り扱 う。 ） ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1103,野球場,固定したバックネットを有し、主として野球・ソフトボール 専用のもの。 ,2,野球場 ソフトボール場,固定したバックネットを有し、主として野球・ソフトボール 専用のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1104,球技場,サッカー、ラグビー、ハンドボール、ホッケー、その他これ に類する球技専用のもの。 ,3,球技場,サッカー、ラグビー、ハンドボール、ホッケー、その他これ に類する球技専用のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1105,バッティング・テニス練習場,バッティング・テニス練習場,,バッティング・テニス練習場,,,8047,バッティング・テニス練習場
スポーツ,1106,多目的運動場,必要に応じて各種スポーツが行えるもの。（学校の運動場を含む） ,4,多目的運動場,土地面積が 992㎡以上のもので、必要に応じて各種スポーツが行えるもの。（学校の運動場を含む） ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1107,プール,主に水泳競技、練習、健康増進のための水泳等のためのプール,5,水泳プール（屋内）,水面積150㎡以上のもの。,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,6,水泳プール（屋外）,水面積150㎡以上のもの。,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1108,レジャープール,流水プール、造波プールなどで、レジャープールとして使用されるもの。 ,7,レジャープール,流水プール、造波プールなどで、レジャープールとして使用されるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1109,目的別プール,水球、シンクロナイズドスイミング、ダイビングプール等。,8,ダイビングプール,主としてダイビングに使用されるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1110,体育館,必要に応じて各種スポーツが行える屋内施設。 ,9,体育館,競技用床面積 132㎡以上の建物で、必要に応じて各種スポーツが行えるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,8042,体育館
スポーツ,1111,柔道場,柔道専用のもの。 ,10,柔道場,主として柔道専用のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1112,剣道場,剣道専用のもの。 ,11,剣道場,主として剣道専用のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1113,武道場,主として柔道・剣道に使用されるもの。,12,柔剣道場（武道場）,主として柔道・剣道に使用されるもの。,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1114,空手・合気道場,主として空手・合気道専用のもの。 ,13,空手・合気道,主として空手・合気道専用のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1115,バレーボールコート,規定のコートを有し、もっぱらバレーボールに 使用されるもの。 （運動施設の一部に区画をつくり、バレーボール専用に使用しているものも含む。） ,14,バレーボール場 （屋外）,屋外にあって規定のコートを有し、もっぱらバレーボールに 使用されるもの。 （運動場の一部に区画をつくり、バレーボール専用に使用しているものも含む。また、屋上コートも該当する） ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1116,テニスコート,規定のコートを有し、もっぱらテニスに使用されるもの。（運動施設の一部に区画をつくり、テニス専用に使用しているものも含む。） ,15,庭球場（屋外）,屋外にあって規定のコートを有し、もっぱらテニスに使用されるもの。（運動場の一部に区画をつくり、テニス専用に使用しているものも含む。また、屋上コートも該当する） ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,8046,テニス場
スポーツ,,,,16,庭球場（屋内）,屋内にあって規定のコートを有し、もっぱらテニスに使用されるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,8046,テニス場
スポーツ,1117,バスケットボールコート,規定のコートを有し、もっぱらバスケットボー ルに使用されるもの。（運動施設の一部に区画をつくり、バス ケットボール専用に使用しているものも含む。）,17,バスケットボール場 （屋外）,屋外にあって規定のコートを有し、もっぱらバスケットボー ルに使用されるもの。（運動場の一部に区画をつくり、バス ケットボール専用に使用しているものも含む。また、屋上コ ートも該当する）,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1118,相撲場,規定の大きさの土俵を有するもの。 ,18,相撲場（屋外）,規定の大きさの土俵を有するもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,19,相撲場（屋内）,規定の大きさの土俵を有するもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1119,卓球場,主として卓球に使用される,20,卓球場,主として卓球に使用されるもので、規定の卓球台を3台以上有するもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1120,弓道場,弓道の試合（近的）が行えるもの。 ,21,弓道場,弓道の試合（近的）が行えるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1121,アーチェリー場,フィールドアーチェリー場。 ,22,アーチェリー場,射場と的との距離が 25m 以上あるもの。または、14 ショッ ト以上の射場のあるフィールドアーチェリー場。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1122,馬場,馬場,23,馬場,20m×60m以上の規模を有し、必要な設備があって競技の行えるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1123,スケートリンク,スケートリンク,24,アイススケート場 （屋内）,滑走面積が 300㎡以上のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,25,アイススケート場 （屋外）,"滑走面積が 1,500㎡以上のもの。 ",文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1124,ローラースケートリンク,ローラースケートリンク,26,ローラースケート・　インラインスケート場（屋内）,滑走面積が 300㎡以上のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,27,ローラースケート・　インラインスケート場（屋外）,滑走面積が 300㎡以上のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1125,林間学校施設,県・市区町村・団体等が登山・林間学校等のために指定しているもの。 ,28,山の家・林間学校等の施設（山小屋、避難小屋を含む）,県・市区町村・団体等が登山・林間学校等のために指定しているもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1126,山小屋,山小屋,,山小屋,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,,
スポーツ,1127,避難小屋,避難小屋,,避難小屋,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,,
スポーツ,1128,登山道,登山道及び入り口,,,,,,
スポーツ,1129,ボルダリング場,ボルダリング場,,,,,,
スポーツ,1130,ロッククライミングスポット,ロッククライミングスポット,,,,,,
スポーツ,1131,オフロード・モトクロス場　,オフロード・モトクロス場　,,,,,,
スポーツ,1132,マウンテンバイクコース,マウンテンバイクコース,,,,,,
